Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Change pen settings	If you want to change the top button shortcuts, change the hand you write with, or other pen settings, go to [Change pen settings](https://support.microsoft.com/en-us/windows/change-pen-settings-a53cd80e-4f89-ae30-d6da-389d630d89a3) for more info.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	100
Check battery level	If you want to see how much battery you have left, go to **Start  **> **Settings  **> **Devices  **> **Bluetooth & other devices  **, then find your pen. The current battery level will appear under the battery icon.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	101
Change pen tips	If you need to replace your pen tips, go to [Replace Surface Pen Tips](https://support.microsoft.com/en-us/surface/replace-surface-pen-tips-edb749a8-e8a4-8dc2-f1ba-00fdcca71ecf).	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	102
Try these apps with your pen	Ready to write your ideas, take notes, and be more productive with ink? Get started with these apps.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[{"ClusterHead":"apps for surface pen","TotalAutoSuggestedCount":6,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"apps for surface pen","AutoSuggestedCount":6,"UserSuggestedCount":2}]}]	False	[{"DisplayOrder":0,"QnaId":104,"Qna":null,"DisplayText":"Microsoft Whiteboard"},{"DisplayOrder":1,"QnaId":105,"Qna":null,"DisplayText":"OneNote"},{"DisplayOrder":2,"QnaId":106,"Qna":null,"DisplayText":"Office"},{"DisplayOrder":3,"QnaId":107,"Qna":null,"DisplayText":"Microsoft To-Do"}]	103
Microsoft Whiteboard	Microsoft Whiteboard is a freeform digital canvas where you can put your ideas, content, and notes in one place.\n\n[Get Microsoft Whiteboard](https://www.microsoft.com/p/microsoft-whiteboard/9mspc6mp8fm4)	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	104
OneNote	OneNote is your digital notebook for capturing and organizing everything across your devices. Write down your to-do lists, keep track of your notes, and draw your ideas. \n\n[Get OneNote](https://www.microsoft.com/p/onenote/9wzdncrfhvjl)	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	105
Office	Office lets you create your best work in Excel, Word, PowerPoint, Outlook, and more. Use your pen to annotate documents, navigate through presentations, and draw diagrams. \n\n[Get Office](https://products.office.com/products)	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	106
Microsoft To-Do	To-Do helps you manage, priotitize, and complete the most important things you need to achieve every day, powered by Microsoft 365 Integration.\n\n[Get Microsoft To-Do](https://products.office.com/microsoft-to-do-list-app) \n\n## Related topics	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	107
Fix problems with Surface Pen	Here are some things to try first if your Surface Pen won’t write, open apps, or connect to Bluetooth.	Editorial		[{"ClusterHead":"help with my surface pen","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"help with my surface pen","AutoSuggestedCount":10,"UserSuggestedCount":2}]}]	False	[{"DisplayOrder":1,"QnaId":139,"Qna":null,"DisplayText":"Check compatibility"},{"DisplayOrder":2,"QnaId":140,"Qna":null,"DisplayText":"Check Pen Settings"}]	118
Check your Surface Pen Compatibility	Check if your Surface Pen is compatible with your Surface. For more info, go to Identify your Surface Pen and features.	Editorial		[]	False	[]	139
Check Pen Settings	Check your pen settings\nTo check your cursor, handwriting, and top button settings, go to Start  > Settings  > Devices  > Pen & Windows Ink . To check your pen pressure settings, open the Surface app and select the Pen  tab to adjust it.	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":141,"Qna":null,"DisplayText":"Replace Pen Tips"}]	140
Replace Pen Tips	Here's how you can replace the pen tips:\n1. Use something to pull and slide out the pen tip, like tweezers. Pull until the entire tip is removed from your Surface Pen.\n2. Insert the thinnest part of the replacement pen tip into your Surface Pen. Push until the tip locks into place.	Editorial		[]	False	[]	141
